Title,Publisher,Published,Downloads,Pages,Category
Thinking Leadership in Africa,Allan Bukusi,16-Aug,1078,139,History
Commanders of World War Two,Bill Brady,16-Jun,2049,217,History
Nutuk (Turkish Edition),Mustafa Kemal Ataturk,16-Jun,253,614,History
Aramaic and Hebrew the Languages Spoken in 1st Century CE Judea,Camilo Ezagui Menashe,16-Mar,945,28,History
The Wars for the Silk Roads,Iakovos Alhadeff,16-Feb,1939,59,History
"A History of Limmer -Person, Place and Thing",Brian E. R. Limmer,15-Dec,162,306,History
21 Manfaat Belajar Sejarah,Hanif Amin,15-Dec,67,21,History
Authentic Nguni Peoples HIstory,KE Hlongwane,15-Nov,431,252,History
The Guns of Tomaree,Joseph Michael Smith,15-Jul,168,38,History
Koonorigan,Joseph  Michael Smith,15-Jul,154,57,History
The First World War for Oil 1914-1918,Iakovos Alhadeff,15-Jun,2125,39,History
The Forgotten People & Company,Henry Smith,15-Jun,349,60,History
Hindu Rites of Passage: A Historical Overview,Jayanta Bhattacharya,15-May,558,248,History
Texas Petroleum: The Unconventional History,Mike Cox,15-Apr,906,298,History
Historic Frederick County: The Story of Frederick & Frederick County,Christopher N. Butler,15-Apr,157,98,History
Oneida County: An Illustrated History,Oneida County Historical Society,15-Mar,136,146,History
Historic Columbus: A Bicentennial History,Ed Lentz,15-Mar,215,202,History
The Swamp of Despair,Dumitru Bordeianu,15-Jan,904,898,History
Sejarah Ringkas Kesusastraan Indonesia,Muhri,15-Jan,246,73,History
Alb pe Alb,Eugenia Bogdan,14-Dec,66,160,History
Did You Know?,David Barrow,14-Nov,4291,124,History
Incredible & Crazy Stories From History,David Barrow,14-Nov,7347,165,History
Lessons in Non-violent Civil Disobedience from the life of M. K. Gandhi and his Legacy,Arun J. Mehta,14-Nov,1380,186,History
Fort Collins at 150: A Sesquicentennial History,Wayne Sundberg,14-Nov,192,246,History
Under Three Flags in Cuba,Adrian Musgrave,14-Oct,440,106,History
To Kumassi with Scott,Adrian Musgrave,14-Oct,261,101,History
Medieval Today,Arcaeditora,14-Aug,134,235,History
The Art of War,Sun Tzu (original),14-Apr,5460,34,History
Presidents' Body Counts: The Twelve Worst and Four Best American Presidents,Al Carroll,14-Mar,1347,511,History
Making Peace After Genocide,Howard Wolpe,14-Feb,205,80,History
